00:57:57.061 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: djangopeople - Repo Desc: A geographical community site for Django developers
00:57:57.061 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: ticketbot - Repo Desc: Django's IRC ticketbot. Linkifies tickets and changesets. Hangs out in #django and #django-dev.
00:57:57.061 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: code.djangoproject.com - Repo Desc: Configuration for Django's Trac instance (code.djangoproject.com)
00:57:57.061 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django - Repo Desc: The Web framework for perfectionists with deadlines.
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django-contrib-comments - Repo Desc: null
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django-docs-translations - Repo Desc: Translations of the Django documentation. Questions and discussions happen on https://groups.google.com/forum/#!forum/django-i18n
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django-localflavor - Repo Desc: Country-specific Django helpers, formerly of contrib fame
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: deps - Repo Desc: Django Enhancement Proposals
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: channels - Repo Desc: Developer-friendly asynchrony for Django
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: daphne - Repo Desc: Django Channels HTTP/WebSocket server
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: asgiref - Repo Desc: ASGI specification and utilities
00:57:57.062 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: channels_redis - Repo Desc: Redis channel layer backend for Django Channels
00:57:57.063 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: asgi_ipc - Repo Desc: IPC-based ASGI channel layer
00:57:57.063 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: code-of-conduct - Repo Desc: Internal documentation of the DSF Code of Conduct committee
00:57:57.063 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django-box - Repo Desc: VM to run the Django test suite. ARCHIVED Please use https://github.com/django/django-docker-box
00:57:57.063 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django-docker-box - Repo Desc: Run the Django test suite across all supported databases and python versions
00:57:57.063 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - GET Rest Call Successful for Repository API
00:57:57.063 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - GET Rest Call for Repository API Completed
00:57:57.066 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Get Repository from Web UI started
00:57:57.143 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Total Count of Repositories from UI: 19
00:57:57.727 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Repo Name: django - Repo Desc: The Web framework for perfectionists with deadlines.
00:57:57.727 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Get Repository from Web UI Completed
00:58:02.048 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Browser Windows Closed
00:58:02.682 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - Browser closed
00:58:02.682 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - -------------EXECUTION FOR REPOSITORY TEST COMPLETED----------------
00:59:14.947 [main] INFO  org.ridecell.assignment.GitHub.test.GetRepositoryTest - -------------------EXECUTION STARTED FOR REPOSITORY TEST------------------
